   0.0000000e+00   5.0000000e-01   5.0000000e-01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00  -0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   3.0000000e-01   6.0000000e+02   6.0000000e+02   6.0000000e+02   6.0000000e+02   0.0000000e+00   0.0000000e+00   1.2947035e+00
   2.0000000e-02   5.0000000e-01   5.0000000e-01   1.0002360e+00   6.4408723e-20   8.1118781e-20   2.2642454e-02   9.9999550e-01   6.9579306e-19  -6.4557802e-19   2.9981993e-03   1.2374536e-16  -1.5378113e-16   2.9897526e-01   6.2510845e+02   5.9519097e+02   6.2510845e+02   5.9519097e+02   1.1339672e-17   1.2295414e-17   9.9876305e-01
   4.0000000e-02   5.0000000e-01   5.0000000e-01   1.0008726e+00   6.3910744e-19   6.1651407e-19   4.0264367e-02   9.9998226e-01   1.9269048e-18  -2.4709206e-18   5.9561027e-03   1.0632257e-16  -1.4688464e-16   2.9155007e-01   6.5584945e+02   5.7828326e+02   6.5584945e+02   5.7828326e+02   4.4475405e-17   3.5110954e-17   7.6744508e-01
   6.0000000e-02   5.0000000e-01   5.0000000e-01   1.0018170e+00   1.7724515e-18   1.4677118e-18   5.3502720e-02   9.9996119e-01   2.4319524e-18  -3.8019759e-18   8.8102186e-03  -2.5529589e-17  -1.1883803e-16   2.7851337e-01   6.7857057e+02   5.6697145e+02   6.7857057e+02   5.6697145e+02   6.9913152e-17   4.5591672e-17   5.6179076e-01
   8.0000000e-02   5.0000000e-01   5.0000000e-01   1.0029871e+00   3.4771477e-18   2.2180057e-18   6.2935420e-02   9.9993372e-01   1.2525015e-18  -5.4654063e-18   1.1512731e-02  -1.6958668e-16  -1.2872571e-16   2.6148424e-01   6.9477105e+02   5.6031435e+02   6.9477105e+02   5.6031435e+02   1.0269655e-16   2.4774636e-17   3.8715901e-01
   1.0000000e-01   5.0000000e-01   5.0000000e-01   1.0043130e+00   5.7428991e-18   2.0318557e-18   6.9193184e-02   9.9990156e-01  -3.6091606e-18  -6.1378215e-18   1.4030712e-02  -8.1073551e-16   1.3798115e-17   2.4182125e-01   7.0570412e+02   5.5743431e+02   7.0570412e+02   5.5743431e+02   1.1834448e-16  -6.7406239e-17   2.4395456e-01
   1.2000000e-01   5.0000000e-01   5.0000000e-01   1.0057375e+00   8.2329718e-18  -1.3635845e-18   7.2884290e-02   9.9986643e-01  -1.5494591e-17  -6.6026225e-18   1.6343595e-02  -1.5599980e-15  -6.5683431e-17   2.2064067e-01   7.1241986e+02   5.5753695e+02   7.1241986e+02   5.5753695e+02   1.3265239e-16  -2.9782658e-16   1.2984458e-01
   1.4000000e-01   5.0000000e-01   5.0000000e-01   1.0072148e+00   1.1052456e-17  -1.1114510e-17   7.4555412e-02   9.9982995e-01  -3.6612800e-17  -6.7848353e-18   1.8440873e-02  -2.6702718e-15   9.2034604e-17   1.9884020e-01   7.1579855e+02   5.5992187e+02   7.1579855e+02   5.5992187e+02   1.4564440e-16  -7.1264627e-16   4.1198388e-02
   1.6000000e-01   5.0000000e-01   5.0000000e-01   1.0087093e+00   1.3935491e-17  -3.1354321e-17   7.4675418e-02   9.9979352e-01  -6.8797243e-17  -5.7728203e-18   2.0320033e-02  -3.8396645e-15   2.5577652e-16   1.7712466e-01   7.1657723e+02   5.6398591e+02   7.1657723e+02   5.6398591e+02   1.4093699e-16  -1.3505079e-15  -2.6017141e-02
   1.8000000e-01   5.0000000e-01   5.0000000e-01   1.0101940e+00   1.6446162e-17  -6.6753238e-17   7.3633087e-02   9.9975830e-01  -1.1260949e-16  -2.9246725e-18   2.1984753e-02  -4.8955785e-15   4.5404016e-16   1.5603173e-01   7.1537122e+02   5.6922079e+02   7.1537122e+02   5.6922079e+02   1.0664177e-16  -2.2240751e-15  -7.5716224e-02
